division_number,date_reported,date_occurred,area,area_name,reporting_district,part,crime_code,crime_description,modus_operandi,victim_age,victim_sex,victim_descent,premise_code,premise_description,weapon_code,weapon_description,status,status_description,crime_code_1,crime_code_2,crime_code_3,crime_code_4,location,cross_street,latitude,longitude,case_number
231820309,04-12-2023,01-12-2023 08:45,18,Southeast,1822,2,354,THEFT OF IDENTITY,0100 1822 0930,37,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,400 W  CENTURY                      BL,,33.9456,-118.2804,385
231421133,01-12-2023,01-12-2023 16:30,14,Pacific,1488,1,761,BRANDISH WEAPON,0334 2000 1814,45,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,HAND GUN,IC,Invest Cont,761,,,,8800    READING                      AV,,33.9579,-118.3819,386
230717861,02-12-2023,01-12-2023 20:00,7,Wilshire,775,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1800 S  LONGWOOD                     AV,,34.0428,-118.3443,387
230917051,04-12-2023,01-12-2023 20:30,9,Van Nuys,904,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1814 0416,0,,,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,14900    WYANDOTTE                    ST,,34.203,-118.4575,388
231820337,04-12-2023,29-11-2023 04:30,18,Southeast,1851,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800 W  134TH                        ST,,33.9102,-118.2894,389
231321511,02-12-2023,02-12-2023 08:50,13,Newton,1375,1,310,BURGLARY,1607 1822 0358,30,F,H,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,1400 E  56TH                         ST,,33.992,-118.2499,390
230221904,01-12-2023,01-12-2023 13:15,2,Rampart,231,2,624,BATTERY - SIMPLE ASSAULT,1251 1259 2024 0913 1815 1824 0416 0446,14,F,H,721,HIGH SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,100 N  OCCIDENTAL                   BL,,34.0721,-118.2818,391
230221990,03-12-2023,03-12-2023 00:01,2,Rampart,269,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1813 0400 2000,38,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,1300    LINWOOD                      AV,,34.0508,-118.2682,392
231718592,03-12-2023,01-12-2023 20:00,17,Devonshire,1791,1,210,ROBBERY,0416 0417 0308 1822 1300 1259 1251 0448 0344,16,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,20500    ROSCOE                       BL,,34.2244,-118.5804,393
231016644,01-12-2023,27-11-2023 20:30,10,West Valley,1049,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,VICTORY,WOODLEY,34.1866,-118.4836,394
